pu_month,pu_day,pu_year,pu_time,do_month,do_day,do_year,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
01,01,2017,00:37,01,01,2017,00:53,0,0,Late Night,1,3.7,4,Alphabet City,140,Lenox Hill East,Cash,15.8
01,01,2017,00:19,01,01,2017,00:34,0,0,Late Night,2,4.8,209,Seaport,162,Midtown East,Cash,18.3
01,01,2017,00:52,01,01,2017,01:08,0,0,Late Night,4,5.1,87,Financial District North,162,Midtown East,Credit card,20.8
01,01,2017,00:19,01,01,2017,00:22,0,0,Late Night,1,0.9,142,Lincoln Square East,238,Upper West Side North,Credit card,6.67
01,01,2017,00:23,01,01,2017,00:50,0,0,Late Night,4,6.5,238,Upper West Side North,7,Astoria,Cash,23.8
01,01,2017,00:20,01,01,2017,00:54,0,0,Late Night,3,7.8,116,Hamilton Heights,249,West Village,Credit card,37.56
01,01,2017,00:59,01,01,2017,01:16,0,0,Late Night,2,1.88,249,West Village,230,Times Sq/Theatre District,Credit card,15.36
01,01,2017,00:46,01,01,2017,00:57,0,0,Late Night,1,1.38,186,Penn Station/Madison Sq West,90,Flatiron,Credit card,11.76
01,01,2017,00:58,01,01,2017,01:16,0,0,Late Night,1,1.62,90,Flatiron,148,Lower East Side,Credit card,15.96
01,01,2017,00:20,01,01,2017,00:34,0,0,Late Night,2,3.2,107,Gramercy,261,World Trade Center,Cash,13.8
01,01,2017,00:47,01,01,2017,01:16,0,0,Late Night,2,7.7,87,Financial District North,142,Lincoln Square East,Credit card,35.35
01,01,2017,00:26,01,01,2017,00:42,0,0,Late Night,2,1.9,50,Clinton West,164,Midtown South,Credit card,14.75
01,01,2017,00:59,01,01,2017,01:18,0,0,Late Night,1,2.3,79,East Village,87,Financial District North,Cash,14.3
01,01,2017,00:52,01,01,2017,01:02,0,0,Late Night,1,1.3,246,West Chelsea/Hudson Yards,50,Clinton West,Credit card,10.3
01,01,2017,00:04,01,01,2017,00:08,0,0,Late Night,1,0.8,141,Lenox Hill West,263,Yorkville West,Credit card,7.55
01,01,2017,00:10,01,01,2017,00:24,0,0,Late Night,2,4.8,263,Yorkville West,202,Roosevelt Island,Credit card,21.8
01,01,2017,00:45,01,01,2017,00:54,0,0,Late Night,2,1.6,107,Gramercy,162,Midtown East,Cash,9.3
01,01,2017,00:24,01,01,2017,00:30,0,0,Late Night,1,1.4,236,Upper East Side North,75,East Harlem South,Cash,7.8
01,01,2017,00:35,01,01,2017,00:42,0,0,Late Night,1,2.2,263,Yorkville West,74,East Harlem North,Credit card,12.25
01,01,2017,00:50,01,01,2017,00:55,0,0,Late Night,1,1.1,74,East Harlem North,236,Upper East Side North,Cash,7.3
01,01,2017,00:21,01,01,2017,00:25,0,0,Late Night,2,0.7,238,Upper West Side North,238,Upper West Side North,Cash,6.3
01,01,2017,00:28,01,01,2017,00:43,0,0,Late Night,2,3.1,238,Upper West Side North,42,Central Harlem North,Cash,14.3
01,01,2017,00:47,01,01,2017,00:52,0,0,Late Night,3,0.6,42,Central Harlem North,41,Central Harlem,Credit card,7.55
01,01,2017,00:01,01,01,2017,00:09,0,0,Late Night,1,0.7,244,Washington Heights South,244,Washington Heights South,Cash,8.3
01,01,2017,00:38,01,01,2017,00:55,0,0,Late Night,2,2.2,166,Morningside Heights,74,East Harlem North,Cash,13.8
01,01,2017,00:57,01,01,2017,01:00,0,0,Late Night,1,0.8,74,East Harlem North,75,East Harlem South,Cash,5.8
01,01,2017,00:08,01,01,2017,00:11,0,0,Late Night,1,1.2,237,Upper East Side South,236,Upper East Side North,Cash,6.8
01,01,2017,00:13,01,01,2017,00:19,0,0,Late Night,1,1.0,236,Upper East Side North,75,East Harlem South,Credit card,8.75
01,01,2017,00:30,01,01,2017,00:35,0,0,Late Night,1,0.9,239,Upper West Side South,43,Central Park,Credit card,8.75
01,01,2017,00:49,01,01,2017,01:02,0,0,Late Night,1,2.3,239,Upper West Side South,141,Lenox Hill West,Credit card,13.57
01,01,2017,00:20,01,01,2017,00:26,0,0,Late Night,2,0.5,50,Clinton West,246,West Chelsea/Hudson Yards,Credit card,11.8
01,01,2017,00:35,01,01,2017,01:07,0,0,Late Night,2,7.2,90,Flatiron,42,Central Harlem North,Cash,29.3
01,01,2017,00:45,01,01,2017,00:58,0,0,Late Night,2,0.5,90,Flatiron,107,Gramercy,Credit card,11.75
01,01,2017,00:23,01,01,2017,00:27,0,0,Late Night,1,1.4,237,Upper East Side South,236,Upper East Side North,Cash,7.3
01,01,2017,00:28,01,01,2017,00:41,0,0,Late Night,1,2.8,236,Upper East Side North,162,Midtown East,Cash,12.8
01,01,2017,00:47,01,01,2017,01:38,0,0,Late Night,1,10.6,229,Sutton Place/Turtle Bay North,188,Prospect-Lefferts Gardens,Cash,40.3
01,01,2017,00:25,01,01,2017,00:34,0,0,Late Night,1,1.1,114,Greenwich Village South,107,Gramercy,Credit card,10.55
01,01,2017,00:40,01,01,2017,01:01,0,0,Late Night,1,2.7,79,East Village,237,Upper East Side South,Credit card,18.95
01,01,2017,00:33,01,01,2017,01:02,0,0,Late Night,1,4.09,239,Upper West Side South,229,Sutton Place/Turtle Bay North,Credit card,24.0
01,01,2017,00:25,01,01,2017,00:51,0,0,Late Night,2,4.4,113,Greenwich Village North,263,Yorkville West,Credit card,23.75
01,01,2017,00:58,01,01,2017,01:01,0,0,Late Night,1,0.7,263,Yorkville West,263,Yorkville West,Credit card,6.36
